county/sub_county,total,farming,crop_production,livestock_production,aquaculture,fishing,irrigation,maize,sorghum,rice,potatoes,beans,cassava,sweet_potatoes,wheat,green_grams,bananas,cabbages,tomatoes,onions,ground_nuts,millet,watermelons,kales,sugarcane,cotton,exotic_cattle_0dairy,exotic_cattle_0beef,indigenous_cattle,sheep,goats,camels,donkeys,pigs,indigenous_chicken,exotic_chicken_layers,exotic_chicken_broilers,beehives,rabbits,fish_ponds,fish_cages
LAMU,37963,18678.0,15196,13448,65,3162,1083,13698.0,818.0,0.0,0.0,546.0,4611.0,996.0,0.0,5854.0,4479.0,0.0,1497.0,176.0,2651.0,585.0,1637.0,1184.0,2201.0,1574.0,508,159,3838,1932,8343,17.0,795,33.0,10362,385,253,302,62,54.0,15.0
LAMU EAST,5090,1831.0,1279,1202,4,1729,41,1096.0,68.0,0.0,0.0,173.0,480.0,37.0,0.0,248.0,156.0,0.0,242.0,17.0,84.0,38.0,365.0,95.0,12.0,10.0,90,33,363,57,386,0.0,425,0.0,670,65,25,18,2,4.0,1.0
LAMU WEST,32873,16847.0,13917,12246,61,1433,1042,12602.0,750.0,0.0,0.0,373.0,4131.0,959.0,0.0,5606.0,4323.0,0.0,1255.0,159.0,2567.0,547.0,1272.0,1089.0,2189.0,1564.0,418,126,3475,1875,7957,17.0,370,33.0,9692,320,228,284,60,50.0,14.0
TAITA/TAVETA,96429,56920.0,48382,43462,275,670,10225,44378.0,3651.0,488.0,4906.0,31229.0,17159.0,9080.0,0.0,14573.0,17629.0,2838.0,6428.0,2340.0,2033.0,1935.0,2155.0,11557.0,7687.0,0.0,7893,1088,16591,7190,24512,63.0,1528,148.0,34560,895,641,1857,1555,262.0,27.0
MWATATE,23698,16123.0,14021,12325,50,75,1020,13494.0,608.0,60.0,938.0,11112.0,5335.0,2624.0,0.0,3501.0,4363.0,657.0,1191.0,444.0,327.0,330.0,320.0,2903.0,1458.0,0.0,2634,331,4422,1436,7021,7.0,480,62.0,9776,209,135,498,362,49.0,1.0
TAITA,15094,12139.0,11254,9162,89,112,1287,10748.0,612.0,54.0,3333.0,9332.0,5686.0,3883.0,0.0,1226.0,6047.0,1325.0,1201.0,758.0,186.0,395.0,351.0,4358.0,3809.0,0.0,3762,473,2684,2216,2989,2.0,590,29.0,7372,261,140,440,464,85.0,6.0
TAVETA,24115,14591.0,12053,10851,92,428,7239,9733.0,1187.0,339.0,290.0,7659.0,2476.0,1270.0,0.0,3170.0,5472.0,488.0,3058.0,526.0,262.0,370.0,437.0,2661.0,1635.0,0.0,527,134,5155,2367,7211,16.0,247,28.0,8803,135,81,414,466,85.0,12.0
VOI,33522,14067.0,11054,11124,44,55,679,10403.0,1244.0,35.0,345.0,3126.0,3662.0,1303.0,0.0,6676.0,1747.0,368.0,978.0,612.0,1258.0,840.0,1047.0,1635.0,785.0,0.0,970,150,4330,1171,7291,38.0,211,29.0,8609,290,285,505,263,43.0,8.0
GARISSA,141394,47645.0,4406,46154,1981,1411,1817,2590.0,748.0,0.0,696.0,1326.0,0.0,0.0,0.0,0.0,1902.0,0.0,1808.0,1132.0,0.0,0.0,1727.0,804.0,0.0,0.0,1376,608,23444,37684,41468,17624.0,20630,0.0,5852,1307,832,833,285,0.0,0.0
BALAMBALA,4337,1786.0,428,1653,144,109,220,250.0,82.0,0.0,96.0,113.0,0.0,0.0,0.0,0.0,171.0,0.0,193.0,180.0,0.0,0.0,198.0,88.0,0.0,0.0,83,66,669,1020,1464,1110.0,821,0.0,108,69,63,67,62,0.0,0.0
DADAAB,35793,9315.0,410,9128,313,250,86,260.0,120.0,0.0,46.0,161.0,0.0,0.0,0.0,0.0,70.0,0.0,98.0,88.0,0.0,0.0,119.0,38.0,0.0,0.0,291,124,3217,6968,8064,6508.0,5072,0.0,476,240,120,64,48,0.0,0.0
FAFI,23671,6556.0,929,6263,326,263,473,651.0,123.0,0.0,134.0,315.0,0.0,0.0,0.0,0.0,630.0,0.0,598.0,380.0,0.0,0.0,519.0,226.0,0.0,0.0,325,175,2359,4844,5639,3871.0,3431,0.0,284,223,138,147,86,0.0,0.0
GARISSA,30518,3335.0,1032,2849,128,99,488,451.0,31.0,0.0,91.0,202.0,0.0,0.0,0.0,0.0,655.0,0.0,560.0,229.0,0.0,0.0,526.0,188.0,0.0,0.0,144,29,1341,1914,2517,1611.0,1341,0.0,239,113,22,48,20,0.0,0.0
HULUGHO,20254,13731.0,1147,13478,681,448,341,724.0,280.0,0.0,166.0,338.0,0.0,0.0,0.0,0.0,197.0,0.0,177.0,129.0,0.0,0.0,205.0,120.0,0.0,0.0,170,71,10619,12006,12284,891.0,5045,0.0,3774,301,232,362,46,0.0,0.0
IJARA,18481,8136.0,413,8021,311,158,191,244.0,108.0,0.0,159.0,192.0,0.0,0.0,0.0,0.0,175.0,0.0,179.0,124.0,0.0,0.0,157.0,143.0,0.0,0.0,314,131,3825,6950,7194,316.0,1891,0.0,908,349,249,141,19,0.0,0.0
LAGDERA,8340,4786.0,47,4762,78,84,18,10.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,49,12,1414,3982,4306,3317.0,3029,0.0,63,12,8,4,4,0.0,0.0
WAJIR,127932,63433.0,2484,62695,1272,912,638,1663.0,660.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,0.0,0.0,0.0,1633,518,28872,53245,57038,39237.0,39275,0.0,5712,891,447,174,69,0.0,0.0
BUNA,6480,3425.0,77,3407,37,38,7,42.0,46.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,169,75,2078,2661,2929,2396.0,2249,0.0,586,84,63,7,3,0.0,0.0
ELDAS,13961,6975.0,513,6776,200,198,114,395.0,185.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,133,85,1704,5844,6318,5516.0,5037,0.0,383,163,69,45,19,0.0,0.0
HABASWEIN,31292,19731.0,456,19603,381,213,160,345.0,122.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,559,122,10769,17753,18318,12356.0,12318,0.0,1615,174,78,12,10,0.0,0.0
TARBAJ,9309,4598.0,114,4543,103,71,36,41.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,75,20,644,3754,4201,2872.0,2693,0.0,186,95,38,4,8,0.0,0.0
WAJIR EAST,18674,3113.0,193,3039,58,52,51,88.0,39.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,98,21,413,2177,2688,1250.0,1231,0.0,303,57,41,14,16,0.0,0.0
WAJIR NORTH,10490,5288.0,495,5214,51,50,163,419.0,168.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,106,43,2946,3693,4468,3944.0,3453,0.0,876,107,33,65,0,0.0,0.0
WAJIR SOUTH,21364,11735.0,252,11663,225,173,67,174.0,48.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,356,118,6728,9825,10333,6144.0,7316,0.0,774,146,84,17,12,0.0,0.0
WAJIR WEST,16362,8568.0,384,8450,217,117,40,159.0,44.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,137,34,3590,7538,7783,4759.0,4978,0.0,989,65,41,10,1,0.0,0.0
MANDERA,125763,62639.0,15310,60556,1646,1083,5428,13594.0,5735.0,1129.0,7331.0,0.0,0.0,0.0,0.0,2250.0,1257.0,3566.0,2312.0,0.0,1804.0,3601.0,1484.0,753.0,0.0,0.0,1203,427,28596,50451,56390,43691.0,40877,0.0,13003,2155,1010,6008,173,0.0,0.0
MANDERA WEST,14274,8737.0,2432,8507,220,149,545,2082.0,1257.0,109.0,846.0,0.0,0.0,0.0,0.0,87.0,132.0,211.0,202.0,0.0,506.0,302.0,268.0,50.0,0.0,0.0,117,28,5632,7471,8073,7448.0,5477,0.0,3073,137,91,677,45,0.0,0.0
BANISA,24285,14983.0,5661,14496,399,248,1310,5040.0,2480.0,561.0,2653.0,0.0,0.0,0.0,0.0,788.0,641.0,1082.0,671.0,0.0,740.0,1103.0,562.0,285.0,0.0,0.0,321,98,6867,11996,13315,12889.0,9314,0.0,3256,745,281,4713,26,0.0,0.0
KOTULO,9446,6881.0,267,6826,92,87,55,179.0,114.0,43.0,92.0,0.0,0.0,0.0,0.0,42.0,39.0,67.0,52.0,0.0,24.0,35.0,25.0,19.0,0.0,0.0,56,11,4534,6111,6499,5408.0,5013,0.0,1632,48,35,19,40,0.0,0.0
LAFEY,11597,7352.0,418,7240,146,99,82,304.0,189.0,31.0,117.0,0.0,0.0,0.0,0.0,39.0,23.0,63.0,41.0,0.0,31.0,54.0,34.0,18.0,0.0,0.0,86,32,2918,6273,6961,5106.0,5436,0.0,1099,268,176,20,14,0.0,0.0
MANDERA CENTRAL,21140,8042.0,395,7954,337,197,131,310.0,211.0,111.0,187.0,0.0,0.0,0.0,0.0,104.0,105.0,137.0,112.0,0.0,100.0,186.0,102.0,101.0,0.0,0.0,195,86,3881,6882,7349,4950.0,5165,0.0,1582,370,141,90,22,0.0,0.0
MANDERA EAST,25904,7078.0,2730,6540,194,119,1692,2466.0,572.0,156.0,1623.0,0.0,0.0,0.0,0.0,706.0,176.0,1145.0,681.0,0.0,200.0,1101.0,272.0,172.0,0.0,0.0,216,86,2432,4672,5849,2685.0,3889,0.0,1301,328,133,129,16,0.0,0.0
MANDERA NORTH,19117,9566.0,3407,8993,258,184,1613,3213.0,912.0,118.0,1813.0,0.0,0.0,0.0,0.0,484.0,141.0,861.0,553.0,0.0,203.0,820.0,221.0,108.0,0.0,0.0,212,86,2332,7046,8344,5205.0,6583,0.0,1060,259,153,360,10,0.0,0.0
MARSABIT,77495,39167.0,2655,38342,163,1295,160,1933.0,0.0,0.0,1619.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,1367,768,17793,30124,33757,22092.0,21474,19.0,3340,291,165,337,16,131.0,37.0
LOIYANGALANI,7774,4891.0,70,4886,9,499,4,54.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,87,21,1390,4157,4602,2414.0,2765,2.0,333,53,21,88,3,8.0,2.0
MARSABIT CENTRAL,15849,4727.0,1974,4059,14,27,96,1447.0,0.0,0.0,1219.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,358,129,2465,1824,2952,664.0,1239,1.0,782,64,37,199,5,8.0,2.0
MARSABIT NORTH,7521,6193.0,108,6190,7,28,2,98.0,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,94,52,2541,5861,5934,5267.0,4074,1.0,101,10,6,8,1,7.0,0.0
MARSABIT SOUTH,11615,8620.0,50,8602,19,87,5,13.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,164,101,4404,7863,8211,6029.0,5527,7.0,950,32,19,4,1,12.0,2.0
MOYALE,17709,3823.0,202,3747,7,27,13,151.0,0.0,0.0,123.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,154,76,1718,1807,2605,1624.0,1921,1.0,654,92,63,34,3,6.0,2.0
